slot	Channel	Tx	Rx	flowid
1803	24	143	139	1
1805	23	139	144	1
1807	20	144	109	1
1809	26	109	101	1
1811	22	101	121	1
1819	23	121	126	1
1821	20	126	117	1
1823	26	117	146	1
1801	26	144	109	2
1803	22	109	101	2
1805	21	101	121	2
1823	24	121	101	2
1825	23	101	109	2
1827	20	109	144	2
1829	26	144	139	2
1831	22	139	143	2
1806	25	105	109	3
1818	21	109	101	3
1828	26	101	121	3
1833	20	121	123	3
1835	26	123	104	3
1801	22	149	117	4
1803	21	117	126	4
1817	21	126	121	4
1839	20	121	101	4
1841	26	101	102	4
1801	23	136	114	5
1803	20	114	119	5
1806	24	119	112	5
1812	26	112	117	5
1814	22	117	126	5
1837	21	126	121	5
1850	23	121	126	5
1852	20	126	117	5
1854	26	117	112	5
1856	22	112	119	5
1858	21	119	114	5
1860	25	114	135	5
1801	21	137	110	6
1802	20	137	110	6
1804	26	110	112	6
1830	20	112	117	6
1832	26	117	126	6
1854	24	126	121	6
1863	23	121	108	6
2001	23	147	143	1
2003	20	143	139	1
2005	26	139	144	1
2007	22	144	109	1
2009	21	109	101	1
2011	25	101	121	1
2019	26	121	126	1
2021	22	126	117	1
2023	21	117	146	1
2001	21	144	109	2
2003	25	109	101	2
2005	24	101	121	2
2023	20	121	101	2
2025	26	101	109	2
2027	22	109	144	2
2029	21	144	139	2
2031	25	139	143	2
2006	23	105	109	3
2018	24	109	101	3
2028	21	101	121	3
2033	22	121	123	3
2035	21	123	104	3
2001	25	149	117	4
2003	24	117	126	4
2017	24	126	121	4
2039	22	121	101	4
2041	21	101	102	4
2001	26	136	114	5
2003	22	114	119	5
2006	20	119	112	5
2012	21	112	117	5
2014	25	117	126	5
2037	24	126	121	5
2050	26	121	126	5
2052	22	126	117	5
2054	21	117	112	5
2056	25	112	119	5
2058	24	119	114	5
2059	22	119	114	5
2060	23	114	135	5
2001	24	137	110	6
2004	21	110	112	6
2030	22	112	117	6
2032	21	117	126	6
2054	20	126	121	6
2063	26	121	108	6
2201	26	147	143	1
2203	22	143	139	1
2205	21	139	144	1
2207	25	144	109	1
2209	24	109	101	1
2211	23	101	121	1
2219	21	121	126	1
2221	25	126	117	1
2223	24	117	146	1
2201	24	144	109	2
2203	23	109	101	2
2205	20	101	121	2
2223	22	121	101	2
2225	21	101	109	2
2227	25	109	144	2
2229	24	144	139	2
2231	23	139	143	2
2206	26	105	109	3
2218	20	109	101	3
2228	24	101	121	3
2233	25	121	123	3
2235	24	123	104	3
2201	23	149	117	4
2202	21	149	117	4
2203	20	117	126	4
2217	20	126	121	4
2239	25	121	101	4
2241	24	101	102	4
2201	21	136	114	5
2203	25	114	119	5
2206	22	119	112	5
2212	24	112	117	5
2214	23	117	126	5
2237	20	126	121	5
2250	21	121	126	5
2252	25	126	117	5
2254	24	117	112	5
2256	23	112	119	5
2258	20	119	114	5
2260	26	114	135	5
2201	20	137	110	6
2204	24	110	112	6
2230	25	112	117	6
2232	24	117	126	6
2254	22	126	121	6
2263	21	121	108	6
2401	21	147	143	1
2403	25	143	139	1
2405	24	139	144	1
2407	23	144	109	1
2409	20	109	101	1
2411	26	101	121	1
2419	24	121	126	1
2421	23	126	117	1
2423	20	117	146	1
2401	20	144	109	2
2403	26	109	101	2
2405	22	101	121	2
2423	25	121	101	2
2425	24	101	109	2
2427	23	109	144	2
2429	20	144	139	2
2431	26	139	143	2
2406	21	105	109	3
2418	22	109	101	3
2428	20	101	121	3
2433	23	121	123	3
2435	20	123	104	3
2401	26	149	117	4
2403	22	117	126	4
2417	22	126	121	4
2439	23	121	101	4
2440	21	121	101	4
2441	20	101	102	4
2401	24	136	114	5
2403	23	114	119	5
2406	25	119	112	5
2412	20	112	117	5
2414	26	117	126	5
2437	22	126	121	5
2450	24	121	126	5
2452	23	126	117	5
2454	20	117	112	5
2456	26	112	119	5
2458	22	119	114	5
2460	21	114	135	5
2401	22	137	110	6
2404	20	110	112	6
2430	23	112	117	6
2432	20	117	126	6
2454	25	126	121	6
2463	24	121	108	6
2601	24	147	143	1
2603	23	143	139	1
2605	20	139	144	1
2607	26	144	109	1
2609	22	109	101	1
2610	23	109	101	1
2611	21	101	121	1
2619	20	121	126	1
2621	26	126	117	1
2623	22	117	146	1
2601	22	144	109	2
2603	21	109	101	2
2605	25	101	121	2
2623	23	121	101	2
2625	20	101	109	2
2627	26	109	144	2
2629	22	144	139	2
2631	21	139	143	2
2606	24	105	109	3
2618	25	109	101	3
2628	22	101	121	3
2633	26	121	123	3
2635	22	123	104	3
2601	21	149	117	4
2603	25	117	126	4
2617	25	126	121	4
2639	26	121	101	4
2641	22	101	102	4
2601	20	136	114	5
