

Time Slot, Channel, Flow ID, Sender, Receiver, RouteID, Hopcount, up/down  
418, 22, 1, 108, 121, 6, 2, 0
419, 21, 1, 121, 126, 0, 1, 1
419, 20, 2, 101, 108, 3, 1, 0
420, 20, 1, 121, 126, 0, 1, 1
421, 26, 1, 126, 117, 0, 2, 1
421, 25, 1, 121, 133, 1, 1, 1
422, 25, 1, 126, 117, 0, 2, 1
422, 24, 1, 133, 125, 1, 2, 1
422, 23, 2, 108, 121, 3, 2, 0
423, 24, 1, 117, 146, 0, 3, 1
423, 23, 1, 125, 113, 1, 3, 1
423, 22, 2, 121, 101, 0, 1, 1
424, 23, 1, 117, 146, 0, 3, 1
424, 22, 1, 126, 125, 2, 1, 1
424, 21, 2, 121, 101, 0, 1, 1
425, 22, 1, 113, 146, 1, 4, 1
425, 21, 2, 101, 109, 0, 2, 1
425, 20, 2, 121, 108, 1, 1, 1
426, 21, 1, 125, 113, 2, 2, 1
426, 20, 2, 101, 109, 0, 2, 1
427, 20, 1, 113, 146, 2, 3, 1
427, 26, 2, 109, 144, 0, 3, 1
427, 25, 2, 101, 122, 2, 1, 1
428, 26, 1, 117, 113, 3, 1, 1
428, 25, 2, 109, 144, 0, 3, 1
428, 24, 2, 122, 105, 2, 2, 1
429, 25, 1, 113, 146, 3, 2, 1
429, 24, 2, 144, 139, 0, 4, 1
429, 23, 2, 108, 109, 1, 2, 1
430, 24, 2, 144, 139, 0, 4, 1
430, 23, 2, 109, 105, 3, 1, 1
431, 23, 2, 139, 143, 0, 5, 1
431, 22, 2, 109, 144, 1, 3, 1
432, 22, 2, 139, 143, 0, 5, 1
432, 21, 2, 105, 144, 2, 3, 1
433, 21, 2, 144, 139, 1, 4, 1
434, 20, 2, 139, 143, 1, 5, 1
434, 26, 2, 105, 144, 3, 2, 1
435, 26, 2, 144, 139, 2, 4, 1
436, 25, 2, 139, 143, 2, 5, 1
436, 24, 2, 144, 113, 4, 1, 1
437, 24, 2, 144, 139, 3, 3, 1
437, 23, 2, 113, 131, 4, 2, 1
438, 23, 2, 139, 143, 3, 4, 1
438, 22, 2, 131, 141, 4, 3, 1
439, 22, 2, 141, 143, 4, 4, 1
440, 21, 2, 139, 141, 5, 1, 1
441, 20, 2, 141, 143, 5, 2, 1
